Coffee_Name,Ingredients_and_Ratio,Flavor_Profile,Target_Audience
義式咖啡,100% 咖啡（高壓萃取）,風味極度濃郁醇厚，表面帶有豐富咖啡油脂，是多數花式咖啡的基底,重度咖啡愛好者、需要快速提神者
美式咖啡,濃縮咖啡 ＋ 大量熱水,口感清爽順口、質地較稀，保留咖啡豆原本的酸苦香氣,喜歡黑咖啡、追求低熱量、上班族
拿鐵,濃縮咖啡 ＋ 大量熱牛奶 ＋ 微量奶泡,充滿濃郁奶香，牛奶的甜味完美中和了咖啡的苦澀,咖啡初學者、喜歡溫潤奶香口感者
卡布奇諾,濃縮咖啡 ＋ 熱牛奶 ＋ 大量厚綿奶泡,口感層次分明，奶泡蓬鬆綿密，咖啡味比拿鐵更明顯,喜歡蓬鬆奶泡、追求咖啡與牛奶平衡感者
摩卡咖啡,濃縮咖啡 ＋ 巧克力醬 ＋ 熱牛奶 ＋ 鮮奶油,苦甜交織，帶有濃厚的巧克力可可香氣，屬於甜點系咖啡,怕咖啡苦味、喜歡巧克力與甜食者
焦糖瑪奇朵,熱牛奶 ＋ 濃縮咖啡 ＋ 焦糖醬 ＋ 奶泡,香甜的焦糖與香草風味，喝的時候不需攪拌，能喝到豐富層次,喜歡香甜風味、怕咖啡苦澀者
馥列白,雙份濃縮咖啡 ＋ 微量熱牛奶 ＋ 極薄奶泡,咖啡比例比拿鐵更高，口感絲滑，能喝到更濃郁的咖啡豆原味,喜歡重奶香但希望咖啡味更濃郁者
康寶藍,濃縮咖啡 ＋ 鮮奶油,冰涼滑順的鮮奶油浮在溫熱的濃縮咖啡上，口感冷熱交織、苦甜平衡,想嘗試濃縮咖啡但怕太苦的進階飲用者
阿芙佳朵,濃縮咖啡 ＋ 香草冰淇淋,嚴格來說是款咖啡甜點，將熱濃縮咖啡淋在冰淇淋上，冰火交融,喜歡甜點、夏日消暑首選
西西里咖啡,濃縮咖啡 ＋ 檸檬汁 ＋ 糖水 / 氣泡水,加入檸檬汁的黑咖啡，酸甜清爽，帶有熱帶水果茶的消暑感,不愛奶味、喜歡酸甜清爽水果風味者
